City,City ID,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (MPH)
Qarqin,1129516,14,AF,16,37.41,66.03,82.85,4.09
Pouembout,2138592,42,NC,78,-21.12,164.9,74.39,8.86
Torres,3446295,100,BR,95,-29.34,-49.73,64.31,2.33
Pacific Grove,5380437,75,US,62,36.62,-121.92,64.99,9.17
Viedma,3832899,83,AR,48,-40.81,-62.99,56.21,10.25
Weligama,1223738,59,LK,81,5.97,80.42,84.29,11.12
Suffolk,4788158,1,US,54,36.73,-76.58,89.01,6.93
Walvis Bay,3359638,18,NA,77,-22.95,14.51,59.0,3.36
Braco do Norte,3469115,98,BR,91,-28.27,-49.17,62.01,2.1
Laguna,4013704,5,MX,14,27.52,-110.01,89.6,12.75
Wawa,2319078,100,NG,43,9.9,4.41,92.21,5.59
Inhambane,1045114,0,MZ,86,-23.87,35.38,62.15,2.17
Ponta do Sol,3453439,0,BR,78,-20.63,-46.0,63.95,4.05
Pilar,3427208,90,AR,87,-34.46,-58.91,62.6,8.05
Sinnamary,3380290,88,GF,84,5.38,-52.96,80.69,15.48
La Gomera,3594575,40,GT,62,14.09,-91.05,89.6,11.41
Saint-Alexandre,6431379,0,FR,49,44.23,4.62,69.8,16.11
Port Augusta,2063056,90,AU,66,-32.49,137.76,55.4,8.05
Gombong,1649595,94,ID,83,-7.19,109.31,77.09,4.14
Verkhnetulomskiy,475469,0,RU,64,68.61,31.8,39.2,11.18
Shingu,1847947,100,JP,99,33.72,135.99,62.15,8.55
Uchaly,479704,100,RU,73,54.32,59.38,51.89,5.53
Faya,110690,20,SA,55,18.39,42.45,68.0,3.47
Yulara,6355222,0,AU,65,-25.24,130.99,46.4,8.05
Camocim,3403687,100,BR,91,-2.9,-40.84,77.45,5.82
Rio de Janeiro,3451190,20,BR,78,-22.91,-43.21,84.2,12.75
Santa Lucia,2522890,40,IT,82,39.93,9.66,62.6,13.87
Muravlenko,1540711,3,RU,83,63.79,74.5,47.03,6.93
Mathathane,933383,3,BW,46,-22.27,28.75,58.91,5.64
Nago,3172402,75,IT,87,45.88,10.89,61.0,1.12
Chernaya Kholunitsa,568954,0,RU,96,58.85,51.72,50.99,6.33
Leningradskiy,2123814,98,RU,90,69.38,178.42,32.63,5.06
Acapulco,3533462,20,MX,75,16.86,-99.88,89.6,10.29
Ust-Nera,2120048,20,RU,54,64.57,143.24,41.45,4.03
Yar-Sale,1486321,68,RU,97,66.83,70.83,35.15,6.69
Bagheria,6537735,75,IT,93,38.08,13.51,66.99,9.17
Gaziantep,314830,0,TR,32,37.06,37.38,75.0,4.29
Reconquista,3429594,97,AR,84,-29.14,-59.64,65.39,2.93
Tilichiki,2120591,0,RU,57,60.47,166.1,49.19,9.86
Araouane,2460954,1,ML,11,18.9,-3.53,100.49,8.77
Bollnas,2720679,100,SE,95,61.35,16.39,48.0,3.49
Mezen,527321,90,RU,90,65.85,44.24,37.13,9.89
Santa Rosalia,2523920,75,IT,93,38.07,13.27,66.99,9.17
Dingle,1714733,64,PH,85,11.0,122.67,76.73,3.02
Wajir,178443,30,KE,75,1.75,40.07,77.99,14.05
Xuddur,49747,59,SO,76,4.12,43.89,77.63,13.42
Emba,146639,0,CY,88,34.81,32.42,73.4,4.7
Mizdah,2214827,0,LY,34,31.45,12.98,73.85,14.38
Slavutych,6930327,91,UA,89,51.52,30.76,62.69,7.25
Amurzet,2027740,99,CN,92,47.69,131.09,46.49,15.68
Hay River,5972762,75,CA,50,60.82,-115.79,53.6,13.87
Hamilton,5969785,90,CA,49,43.26,-79.87,75.99,12.75
Launceston,2160517,9,AU,81,-41.43,147.14,50.0,16.11
Gisborne,2206854,8,NZ,83,-38.66,178.02,62.01,4.0
Ardakan,143073,40,IR,20,32.31,54.02,84.2,11.41
Flinders,6255012,0,AU,53,-34.58,150.85,54.0,18.34
Alice Springs,2077895,0,AU,86,-23.7,133.88,41.0,4.7
Puerto Penasco,3991347,20,MX,23,31.32,-113.53,77.0,10.29
Jining,1805518,91,CN,31,35.41,116.58,64.31,3.98
Ucluelet,6171633,75,CA,87,48.94,-125.55,82.99,8.05
Tevaitoa,4033375,0,PF,72,-16.78,-151.5,81.59,5.03
Belaya Gora,2126785,67,RU,66,68.54,146.19,38.57,6.82
Puerto Suarez,3465342,75,BO,62,-18.96,-57.8,89.6,5.82
Bilma,2446796,17,NE,10,18.69,12.92,92.21,7.43
Kalanguy,2023298,0,RU,49,51.01,116.52,37.67,5.03
Vereshchagino,475777,1,RU,96,58.07,54.67,55.85,8.23
Illela,2336237,100,NG,25,12.25,4.3,100.85,7.92
Medicine Hat,6071618,90,CA,22,50.04,-110.68,64.4,10.29
Djambala,2260401,100,CG,82,-2.55,14.76,73.85,2.93
Vicksburg,4449620,100,US,58,32.35,-90.88,90.0,10.29
Dondo,1024696,20,MZ,78,-19.62,34.74,73.4,2.24
Merrill,5572979,75,US,55,42.03,-121.6,60.8,12.75
Coquimbo,3893629,40,CL,63,-29.95,-71.34,60.8,11.41
Mana,789988,0,RS,77,43.52,20.24,64.4,5.82
Forio,3176748,75,IT,87,40.73,13.86,62.01,3.36
San Pedro,3428576,100,AR,80,-33.68,-59.66,62.01,4.0
Anjozorobe,1073482,75,MG,82,-18.4,47.88,60.8,9.17
Bilibino,2126682,95,RU,96,68.06,166.44,34.61,0.81
Freeport,3572375,40,BS,65,26.54,-78.7,82.4,16.11
Moyale,186180,34,ET,77,3.52,39.05,68.81,4.63
Mantena,3457933,52,BR,95,-18.78,-40.98,69.17,8.16
Ulaangom,1515029,96,MN,45,49.98,92.07,45.41,7.18
Paralia,734757,20,GR,52,40.27,22.6,70.0,3.36
Khasan,2039557,22,RU,62,42.43,130.64,53.33,15.35
Calderitas,3531816,40,MX,62,18.55,-88.26,89.6,9.17
Skjervoy,777682,20,NO,75,70.03,20.97,46.4,8.05
Chingola,919009,99,ZM,65,-12.55,27.86,65.03,5.03
Saskylakh,2017155,3,RU,89,71.97,114.09,36.77,9.08
Ojinaga,3994469,1,US,8,29.56,-104.41,100.4,17.22
Inta,1505579,100,RU,82,66.04,60.13,47.03,9.86
Loandjili,2258378,20,CG,100,-4.77,11.87,75.2,3.36
Kolosovka,1502879,57,RU,56,56.47,73.61,54.77,13.0
Ayan,749747,11,TR,70,40.67,33.6,52.97,4.14
Uspenka,690629,0,UA,78,48.39,39.16,59.45,2.33
Barao de Melgaco,3470871,20,BR,41,-16.19,-55.97,96.8,6.93
Abu Samrah,172515,19,SY,42,35.3,37.18,79.97,7.09
Kiama,2161515,0,AU,53,-34.67,150.86,54.0,18.34
Puro,1706889,100,PH,88,13.13,123.76,79.07,3.67
Nuuk,3421319,20,GL,57,64.17,-51.74,50.0,4.7
Nhulunbuy,2064735,51,AU,73,-12.18,136.78,75.2,5.82
Port Hardy,6111862,20,CA,72,50.7,-127.42,60.8,9.17
Arkhipo-Osipovka,580969,0,RU,96,44.37,38.53,56.03,1.52
Shizunai,2128025,100,JP,73,42.33,142.37,59.45,10.38
Alugan,1731248,73,PH,91,12.22,125.48,77.63,3.91
San Cristobal,3652462,40,EC,48,-0.39,-78.55,71.6,20.8
Casper,5820705,90,US,100,42.87,-106.31,53.01,10.29
Mudbidri,1262672,20,IN,83,13.08,74.98,82.4,9.44
Lindi,878281,33,TZ,92,-10.0,39.71,68.63,3.47
Tautira,4033557,75,PF,69,-17.73,-149.15,78.8,14.99
Iralaya,3608828,90,HN,94,15.0,-83.23,77.0,3.36
Cao Bang,1586185,90,VN,98,22.67,106.25,70.61,1.68
Jasper,4069659,75,US,41,33.83,-87.28,93.99,8.05
Luderitz,3355672,0,NA,87,-26.65,15.16,57.2,14.99
Kieta,2094027,99,PG,72,-6.22,155.63,82.49,5.14
Grindavik,3416888,0,IS,53,63.84,-22.43,53.6,13.87
Chitrakonda,1274055,34,IN,74,18.12,82.08,82.13,4.21
Utete,149070,37,TZ,91,-7.99,38.76,72.77,2.57
Middelburg,976361,100,ZA,27,-25.77,29.46,54.41,3.04
Ostersund,2685750,90,SE,93,63.18,14.64,41.0,5.82
Ceres,3862100,74,AR,78,-29.88,-61.95,59.27,7.47
Havoysund,779622,75,NO,80,71.0,24.66,46.4,8.05
Albanel,5883074,40,CA,39,48.88,-72.44,52.0,13.87
Teahupoo,4033543,75,PF,69,-17.83,-149.27,78.8,14.99
Newcastle,971421,100,ZA,41,-27.76,29.92,49.37,1.12
Imeni Babushkina,556858,57,RU,87,59.76,43.13,47.03,5.59
Montepuez,1037125,21,MZ,79,-13.13,39.0,67.73,6.42
Sarangani,1687186,58,PH,73,5.4,125.46,84.47,10.16
Avera,4231997,1,US,23,33.19,-82.53,99.0,6.93
Fuerte Olimpo,3438102,80,BR,56,-21.04,-57.87,85.91,5.95
Papayal,3654853,40,EC,33,-2.43,-79.18,75.2,12.75
Norilsk,1497337,75,RU,92,69.35,88.2,28.4,4.47
Matagami,2335713,100,NG,80,9.67,8.4,76.91,5.46
Welkom,940909,93,ZA,82,-27.98,26.74,48.0,2.93
Banjar,1650233,56,ID,98,-7.37,108.54,73.31,1.83
Olavarria,3842670,13,AR,59,-36.89,-60.32,51.71,1.68
Birin,170017,0,SY,62,35.01,36.67,72.41,3.98
Alghero,3183284,75,IT,88,40.56,8.32,62.6,4.7
Omsukchan,2122493,43,RU,59,62.53,155.8,39.29,6.31
